,quote,movie,type,year,poster_link
0,"Do, or do not. There is no try.",Star Wars: Episode V - The Empire Strikes Back,movie,1890,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,Listen to them. Children of the night. What music they make.,Dracula,movie,1931,
2,It's alive! It's alive!,Frankenstein,movie,1931,"https://m.media-amazon.com/images/M/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",King Kong,movie,1933,"https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,"Magic Mirror on the wall, who is the fairest one of all?",Snow White and the Seven Dwarves,movie,1937,
5,"Elementary, my dear Watson.",The Adventures of Sherlock Holmes,movie,1939,
6,"I'll get you, my pretty, and your little dog, too!",The Wizard of Oz,movie,1939,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,"After all, tomorrow is another day!",Gone With the Wind,movie,1939,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,"Frankly, my dear, I don't give a damn.",Gone with the Wind,movie,1939,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,"Toto, I've got a feeling we're not in Kansas anymore.",The Wizard of Oz,movie,1939,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
10,There's no place like home.,The Wizard of Oz,movie,1939,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
11,"As God is my witness, I'll never be hungry again.",Gone with the Wind,movie,1939,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
