,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist,title,genre,lyrics,year,youtube_links,url_spotify,Album,artist_image
0,0,0,0,367,taylor swift,...Ready For It?,"dance pop, pop, post-teen pop","Knew he was a killer, first time that I saw him
Wondered how many girls he had loved and left haunted
But if he's a ghost, then I can be a phantom
Holding him for ransom

Some, some boys are tryin' too hard
He don't try at all though
Younger than my exes, but he act like such a man, so
I see nothing better, I keep him forever
Like a vendetta-ta

I, I, I see how this is gon' go
Touch me and you'll never be alone
I, Island breeze and lights down low
No one has to know

In the middle of the night, in my dreams
You should see the things we do, baby, mmm
In the middle of the night, in my dreams
I know I'm gonna be with you, so I take my time

Are you ready for it?

Knew I was a robber, first time that he saw me
Stealing hearts and running off and never saying ""sorry""
But if I'm a thief, then he can join the heist, and
We'll move to an island

And, and he can be my jailer
Burton to this Taylor
Every love I've known in comparison is a failure
I forget their names now, I'm so very tame now
Never be the same now, now

I, I, I see how this is gon' go
Touch me and you'll never be alone
I, Island breeze and lights down low
No one has to know (No one has to know)

In the middle of the night, in my dreams
You should see the things we do, baby, mmm
In the middle of the night, in my dreams
I know I'm gonna be with you, so I take my time

Are you ready for it?
Oh
Are you ready for it?

Baby, let the games begin
Let the games begin
Let the games begin

Baby, let the games begin
Let the games begin
Let the games begin

I, I, I see how this is gon' go
Touch me and you'll never be alone
I, Island breeze and lights down low
No one has to know

In the middle of the night, in my dreams
You should see the things we do, baby, mmm
In the middle of the night, in my dreams
I know I'm gonna be with you, so I take my time

In the middle of the-

Baby, let the games begin
Let the games begin
Let the games begin
Are you ready for it?

Baby, let the games begin
Let the games begin
Let the games begin
Are you ready for it?",2017,https://www.youtube.com/watch?v=wIft-t-MQuE,,,https://www.usmagazine.com/wp-content/uploads/2023/10/Taylor-Swifts-Family-Guide-Meet-the-Singers-Supportive-Parents-and-Younger-Brother1.jpg?w=800&h=1421&crop=1&quality=86&strip=all
1,1,1,1,368,logic,1-800-273-8255,rap,"I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
Who can relate?
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I don't wanna be alive
I don't wanna be alive
I just wanna die today
I just wanna die
I don't wanna be alive
I don't wanna be alive
I just wanna die
And let me tell you why

All this other shit I'm talkin' 'bout they think they know it
I've been praying for somebody to save me, no one's heroic
And my life don't even matter, I know it, I know it
I know I'm hurting deep down but can't show it
I never had a place to call my own
I never had a home, ain't nobody callin' my phone
Where you been? Where you at? What's on your mind?
They say every life precious but nobody care about mine

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
Who can relate?
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I want you to be alive
I want you to be alive
You don't gotta die today
You don't gotta die
I want you to be alive
I want you to be alive
You don't gotta die
Now lemme tell you why

It's the very first breath
When your head's been drowning underwater
And it's the lightness in the air
When you're there
Chest to chest with a lover
It's holding on, though the road's long
And seeing light in the darkest things
And when you stare at your reflection
Finally knowing who it is
I know that you'll thank God you did

I know where you been, where you are, where you goin'
I know you're the reason I believe in life
What's the day without a little night?
I'm just tryna shed a little light
It can be hard
It can be so hard
But you gotta live right now
You got everything to give right now

I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine
Who can relate?
I've been on the low
I been taking my time
I feel like I'm out of my mind
It feel like my life ain't mine

I finally wanna be alive
I finally wanna be alive
I don't wanna die today
I don't wanna die
I finally wanna be alive
I finally wanna be alive
I don't wanna die
I don't wanna die

Pain don't hurt the same, I know
The lane I travel feels alone
But I'm moving 'til my legs give out
And I see my tears melt in the snow
But I don't wanna cry
I don't wanna cry anymore
I wanna feel alive
I don't even wanna die anymore
Oh I don't wanna
I don't wanna
I don't even wanna die anymore",2017,https://www.youtube.com/watch?v=Kb24RrHIbFk,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L,Everybody,
2,2,2,2,369,burl ives,A Holly Jolly Christmas,christmas,"Ding Dong Ding
Ding dong ding
Have a holly jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

Have a holly jolly Christmas
And in case you didn't hear
Oh, by golly
Have a holly jolly Christmas this year

Have a holly jolly Christmas
It's the best time of the year

Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet

Oh, ho, the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me

Have a holly jolly Christmas
And in case you didn't hear
Oh, by golly
Have a holly jolly Christmas this year
Catch all of these songs Monday November 21st 2016",2017,https://www.youtube.com/watch?v=e_AMTbO50vU,https://open.spotify.com/artist/0MHgLfmQdutffmvWe5XBTN,Buone Feste di Natale 2021,
3,3,3,3,370,mariah carey,All I Want For Christmas Is You,"dance pop, hip pop, pop, pop rap, post-teen pop, r&b, urban contemporary","I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah.

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas Day

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you
You, baby

Oh, I won't ask for much this Christmas
I won't even wish for snow
And I'm just gonna keep on waiting
Underneath the mistletoe

I won't make a list and send it
To the North Pole for Saint Nick
I won't even stay awake to
Hear those magic reindeer click

'Cause I just want you here tonight
Holding on to me so tight
What more can I do?
Baby, all I want for Christmas is you
You, baby

Oh, all the lights are shining so brightly everywhere
And the sound of children's laughter fills the air

And everyone is singing
I hear those sleigh bells ringing
Santa, won't you bring me the one I really need?
Won't you please bring my baby to me?

Oh, I don't want a lot for Christmas
This is all I'm asking for
I just wanna see my baby
Standing right outside my door

Oh, I just want you for my own
More than you could ever know
Make my wish come true
Baby, all I want for Christmas is you
You, baby

All I want for Christmas is you, baby",2017,https://www.youtube.com/watch?v=yXQViqx6GMY,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,Merry Christmas,
4,4,4,4,371,charlie puth,Attention,"dance pop, pop, post-teen pop, viral pop","You've been running 'round, running 'round, running 'round
Throwing that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up

You've been going 'round, going 'round, going 'round
Every party in L.A.
'Cause you knew that I, knew that I, knew that I'd be at one

I know that dress is karma, perfume regret
You got me thinking about when you were mine, oh
And now I'm all up on you, what'd you expect?
But you're not coming home with me tonight

You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never getting over you, oh

You've been running 'round, running 'round, running 'round
Throwing that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd call you up

Baby, now that we're, now that we're, now that we're
Right here standing face to face
You already know, 'ready know, 'ready know that you won, oh

I know that dress is karma, perfume regret
You got me thinking about when you were mine
And now I'm all up on you, what'd you expect?
But you're not coming home with me tonight, oh no

You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never getting over you, oh

What are you doing to me? What are you doing, love?
What are you doing?
What are you doing to me? What are you doing, love?
What are you doing?

What are you doing to me? What are you doing, love?
What are you doing?
What are you doing to me? What are you doing, love?

I know that dress is karma, perfume regret
You got me thinking about when you were mine
And now I'm all up on you, what'd you expect?
But you're not coming home with me tonight

You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never getting over you

What are you doing to me? What are you doing, huh?
What are you doing, love?
What are you doing to me? What are you doing, love?
Yeah, you just want attention

What are you doing to me? What are you doing, love?
What are you doing to me? What are you doing, love?",2017,https://www.youtube.com/watch?v=nfs8NYg7yQM,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,Voicenotes,
5,5,5,5,372,halsey,Bad At Love,"dance pop, etherpop, indie poptimism, pop, post-teen pop","Got a boy back home in Michigan
And it tastes like Jack
When I'm kissing him
So I told him that
I never really liked his friends
Now he's gone
And he's calling me a bitch again
It's a guy that lives

In the garden state
And he told me that
We'd make it 'til we graduate
So I told him that
The music would be worth the wait

But he wants me
In the kitchen with a dinner plate

I believe
I believe
I believe
I believe that we're meant to be

But jealousy
Jealousy
Jealousy
Jealousy get the best of me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause

I'm bad at love

(ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one
(ooh-ooh)

That could finally fix me
Lookin' at my history
I'm bad at love

Got a girl with California eyes
And I thought that
She could really be the one this time
But I never got the chance
To make her mine
Because she fell in love

With little thin white lines
London girl with an attitude
We never told no one
But we look so cute
Both got way better things to do

But I always think about it
When I'm riding through

I believe
I believe
I believe
I believe that I'm in too deep
And jealousy
Jealousy
Jealousy
Jealousy get the best in me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause

I'm bad at love
(ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one
(ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love
(ooh-ooh)
Oh, you know
You know
You know
You know (ooh-ooh)
I'm bad at love
(ooh-ooh)
I'm bad at love, yeah (ooh-ooh)

I know that you're afraid
I'm gonna walk away
Each time the feeling fades
Each time the feeling fades
I know that you're afraid
I'm gonna walk away
Each time the feeling fades

You know I'm bad at love
(ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one
(ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love
(ooh-ooh)
Oh, you know
You know
You know
You know (ooh-ooh)
I'm bad at love
(ooh-ooh)
Oh, oh",2017,https://www.youtube.com/watch?v=xdYFuCp3m9k,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,hopeless fountain kingdom (Deluxe),
6,6,6,6,373,21 savage,Bank Account,"pop, rap, trap music","I buy a new car for the bitch (for real)
I tear down the mall with the bitch (for real)
You can't even talk to the bitch (no)
She fucking with bosses and shit (oh God)
I pull up in 'rari's and shit, with choppers and Harley's and shit (for real)
I be Gucci'd down, you wearing Lacoste and shit (bitch)
Yeah, Moncler, yeah, fur came off of that, yeah (yeah)
Triple homicide, put me in a chair, yeah (in jail)
Triple cross the plug, we do not play fair, yeah (Oh god)
Got 'em tennis chains on and they real blingy (blingy)
Draco make you do the chicken head like Chingy (Chingy)
Walk in Neiman Marcus and I spend a light fifty (fifty)
Please proceed with caution, shooters, they be right with me (21)
Bad bitch, cute face and some nice titties
$7500 on a Saint Laurent jacket (yeah)
Bitch, be careful where you dumpin' your ashes (bitch)
I ain't no sucker, I ain't cut for no action (nah)
The skreets raised me, I'm a ho bastard (wild, wild, wild, wild)
I bought a 'Rari just so I can go faster (skrrt)
Niggas tryna copy me, they playin' catch up (21)
I might pull up in a Ghost, no Casper (21)
I been smoking gas and I got no asthma

I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (Oh, God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)

Yeah dog I'm for real, dog (21)
Regular, buy the seats, I got a house on the hill, dog (21)
Wanna see a body, nigga? Get you killed, dog (wet)
Wanna Tweet about me, nigga? Get you killed, dog (wet)
Killed dog, I'm a real dog, you a lil' dog (21)
Be a dog, wanna be a dog, chasing mil's, dog
Dunk right in your bitch like O'Neal, dog
I shoot like Reggie Mill', dog (21)
Chopper sting you like a eel, dog

I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (Oh, God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)

Roulette clips, send a roulette hit
Pull up on your bitch, she say I got that ruler dick
Spray your block down, we not really with that rural shit
Glock cocked now, I don't really give no fuck 'bout who I hit
Yeah, your bitch, she get jiggy with me
Keep that Siggy with me
Bitch, I'm Mad Max, you know I got Ziggy with me
Keep a mad mag in case they wanna get busy with me
'Rari matte black and I got a Bentley with me

I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (Oh, God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
In my bank account, yeah (Oh God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)
Ready to gun you down, yeah (Oh God)

$7500 on a Saint Laurent jacket (yeah)
Bitch, be careful where you dumpin' your ashes (bitch)
I ain't no sucker, I ain't cut for no action (nah)
The skreets raised me, I'm a ho bastard",2017,https://www.youtube.com/watch?v=H1KBHFXm2Bg,,,https://i.scdn.co/image/ab6761610000e5eb35ca7d2181258b51c0f2cf9e
7,7,7,7,374,cardi b,Bartier Cardi,pop,"Bardi in a 'Rari, diamonds all over my body
(30, you a fool for this one)
Shinin' all over my body
Bardi, put that lil' bitch on molly, Bardi!
Bitch on Molly (Cheeze)
21, diamonds all over my body
Fucked that bitch on molly (KSR)
Ask him if I'm 'bout it


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the Flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)

Who get this motherfucker started? (Cardi)
Who took your bitch out to party? (Cardi)
I took your bitch and departed (Cardi)
Who that be fly as a Martian? (Cardi)
Who that on fleek in the cut? (Cardi)
Who got the bricks in the truck? (Cardi)
Them diamonds gon' hit like a bitch on a bitchy ass bitch
Bitch, you a wannabe Cardi
Red bottom MJ, moonwalk on a bitch
Moonwalkin' through your clique
I'm moonwalkin' in the 6
Sticky with the kick, moonrocks in this bitch
I'm from the motherfuckin' Bronx (Bronx)
I keep the pump in the trunk (trunk)
Bitch, if you bad then jump (jump)
Might leave your bitch in a slump (your back)

Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset


Your bitch wanna party with a Savage (21)
Saint Laurent Savage in an Aston (yeah)
High end cars and fashion (21)
I don't eat pussy, I'm fastin' (on God)
I'm a Blood, my brother Crippin'
Bitch, I'm drippin', ho, you trippin'
Told the waitress, I ain't tippin'
I like hot sauce on my chicken (on God)
I pulled the rubber off and I put hot sauce on her titties (21)
I'm in a Bentley truck, she keep on suckin' like it's tinted (21)
All these VVSs, nigga, my sperm worth millions (on God)
The bitch so bad, I popped a Molly 'fore I hit it (21, 21)


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)

Step in this bitch in Givenchy (cash)
Fuck up a check in Givenchy (cash)
Boss out the coupe and them inches
I fuck up a bag at the Fendi, I fuck up a bag in a minute
Who you know drip like this?
Who you know built like this?
I'm poppin' shit like a dude
Pull up to pop at your crew, brrrt, poppin' at you (woo)
They say you basic, I flooded the Rollie with diamonds
I flooded the Patek and bracelet
I got your bitch and she naked
Ice on the cake when I bake it
I'm switchin' lanes in the Range
Swap out the dick for the brain
Swap out your bitch for your main
Swap out the trap for the fame
Ice on them Cardi B Cartier frames, bitch


Your bitch wanna party with Cardi
Cartier Bardi in a 'Rari (21)
Diamonds all over my body (Cardi)
Shinin' all over my body (my body)
Cardi got your bitch on molly
Bitch, you ain't gang, you lame
Bentley truck lane to lane, blow out the brain (21)
I go insane, insane
I drop a check on the chain, fuck up a check in the flame
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (say what?)
Cartier, Cardi B brain on Offset (21)
Cardi took your man, you upset, uh
Cardi got rich, they upset, yeah (21)
Cardi put the pussy on Offset (Cardi)
Cartier, Cardi B brain on Offset (who's Cardi?)",2017,https://www.youtube.com/watch?v=hXnMSaK6C2w,,,
8,8,8,8,375,imagine dragons,Believer,"modern rock, vegas indie","First things first
I'mma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulking into the masses
Write down my poems for the few
That looked at me Took to me, shook to me, feeling me
Singing from heart ache from the pain
Take up my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you build me up, believer, believer
Pain!
I let the bullets fly, oh let them rain
My luck, my love, my God, they came from...
Pain!
You made me a, you made me a believer, believer

Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was choking in the crowd
Living my brain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
It rained down, like...

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you built me up, believer, believer
Pain!
I let the bullets fly, oh let them rain
My luck, my love, my God, they came from...
Pain!
You made me a, you made me a believer, believer

Last things last
By the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke up and it rained down
It rained down, like...

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you built me up, believer, believer
Pain!
I let the bullets fly, oh let them rain
My luck, my love, my God, they came from...
Pain!
You made me a, you made me a believer, believer",2017,https://www.youtube.com/watch?v=7wtfhZwyrcc,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,Evolve,
9,9,9,9,376,lil xan,Betrayed,"pop, rap, trap music","Pop the trunk I open up I sold my soul for a good price
Outta' sight, and my hoe got talent right
Whole squad ran through that shit yikes
What can I say I'm a business man I did my business man
But 'Imma bend it down and I'mma lick her up, then dick her down
She gon' turn around then I'm gon' kick her out
She gon' talk that shit but say
How you make it up, how you fake a love?
Holy son, I was the chosen one of she gon' kiss and tell
She keep my wishes well (but) I don't need her, well
How my enemy a friend of me?
Why yall feed off my energy, like I ain't dead yet
Higher entity foreign bitch that thinks she into me with the foreign very viciously
Why these dudes wanna take pics with me?
She said she gay but still into me, said she gay but still into me
Said that she hates that I'm in the streets
And said that I hate that I'm in the streets
I wanna blow up and make history
And she said that she hates my Insta feed

Xans don't make you
Xans gon' take you
Xans gon' fake you and
Xans gon' betray you
Xans don't make you
Xans gon' take you
Xans gon' fake you and
Xans gon' betray you

And her pussy tastes like skittles, what?
Yeah, ayy, and you can really taste the rainbow, what? (hah, no)
Yo' bitch just like a crayola (what, ayy)
You can draw her on the table, flip her like some yola
Heart shaped kisses
I really miss my mistress
666, evil bitches want my mentions
Heart shaped kisses
I really miss my mistress, and the
666, evil bitches want my mentions

Xans don't make you
Xans gon' take you
Xans gon' fake you and
Xans gon' betray you
Xans don't make you
Xans gon' take you
Xans gon' fake you and
Xans gon' betray you
Xans gon' fake you
Xans gon' betray you
Xans gon' take you
Xans gon' betray you
Xans gon' take you
Xans gon' take you
What, what aye
Xans gon' take you, xans gon' take you
Xans gon'
Xans' gon take you
Xans' gon take you",2017,https://www.youtube.com/watch?v=_dL3AygsCMc,,,
